Year,Quarter,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
2012,2,30372,32457,ASE,SFO,848,19.67,399.68,UA,78.8,424.23,UA,78.8,424.23
2012,2,30372,32457,ASE,SJC,828,4.51,305.04,UA,90.2,301.43,UA,90.2,301.43
2012,2,30372,32575,ASE,SNA,722,5.82,323.26,UA,88.7,320.54,UA,88.7,320.54
2012,2,30397,30721,ATL,BOS,946,"1,982.31",221.67,DL,60.8,246.84,FL,32,167.83
2012,2,30397,32575,ATL,BUR,1941,40.88,257.59,WN,54.8,222.8,WN,54.8,222.8
2012,2,30397,30852,ATL,BWI,577,"2,245.16",139.7,DL,43.2,158.57,FL,26.2,120.79
2012,2,30397,30647,ATL,CAK,528,354.62,161.96,FL,65.6,147.26,FL,65.6,147.26
2012,2,30397,30647,ATL,CLE,554,431.54,221.8,DL,65.1,225.23,UA,24.1,214.62
2012,2,30397,30852,ATL,DCA,547,"2,050.22",184.56,DL,72.4,192.7,FL,24.3,154.09
2012,2,30397,31703,ATL,EWR,746,"1,403.41",246.43,DL,57.8,249.86,UA,32,245.29
2012,2,30397,32467,ATL,FLL,581,"2,357.80",115.7,DL,49.7,129.45,NK,11.9,72.04
2012,2,30397,31453,ATL,HOU,696,"1,015.71",168.29,WN,35.7,158.23,FL,27.8,147.03
2012,2,30397,31703,ATL,HPN,780,749.23,169.08,FL,50.1,137.7,FL,50.1,137.7
2012,2,30397,30852,ATL,IAD,534,790.88,179.78,DL,68.5,181.08,FL,14.5,144.09
2012,2,30397,31453,ATL,IAH,689,735.16,226.57,DL,52.8,224.88,DL,52.8,224.88
2012,2,30397,31703,ATL,ISP,795,46.04,191.15,WN,67.5,177.03,WN,67.5,177.03
2012,2,30397,31703,ATL,JFK,760,444.4,209.39,DL,92.1,208.2,DL,92.1,208.2
2012,2,30397,32575,ATL,LAX,1947,"2,213.30",259.39,DL,63.8,277.72,FL,19.9,204.14
2012,2,30397,31703,ATL,LGA,762,"3,916.81",195.7,DL,57.7,217.12,FL,25.6,152.62
2012,2,30397,32575,ATL,LGB,1933,38.68,237.06,US,67.6,222.68,US,67.6,222.68
2012,2,30397,30977,ATL,MDW,591,"1,626.48",138.78,WN,36.6,131.87,FL,27.5,126.73
2012,2,30397,30721,ATL,MHT,952,123.52,265.92,DL,54.8,269.6,WN,21.7,239.01
2012,2,30397,32467,ATL,MIA,594,"1,159.45",157.51,DL,61,167.38,AA,35.7,138.54
2012,2,30397,32457,ATL,OAK,2130,112.09,275.57,WN,45.4,257.34,WN,45.4,257.34
2012,2,30397,32575,ATL,ONT,1900,232.31,265.22,DL,43.7,274.57,WN,16.5,232.8
2012,2,30397,30977,ATL,ORD,606,"1,812.97",189.54,DL,58.6,181.74,DL,58.6,181.74
2012,2,30397,33667,ATL,ORF,516,309.56,212.42,DL,76.1,214.87,US,16,208.02
2012,2,30397,33667,ATL,PHF,508,136.04,206.31,DL,81.9,206.22,US,17.1,205.68
2012,2,30397,30721,ATL,PVD,903,243.3,256.39,DL,67.8,263.3,WN,10.5,222.94
2012,2,30397,32457,ATL,SFO,2139,"1,402.97",301.39,DL,65.1,326.35,FL,19.4,223.49
2012,2,30397,32457,ATL,SJC,2116,171.76,325.76,DL,46.9,367.74,WN,20.4,236.78
2012,2,30397,32575,ATL,SNA,1919,442.42,294.81,DL,74.4,300.88,DL,74.4,300.88
2012,2,30397,31703,ATL,SWF,783,49.45,238.8,DL,90.9,237.53,DL,90.9,237.53
2012,2,30397,33195,ATL,TPA,406,"1,249.89",163.18,DL,56.6,178.73,FL,41.3,140.35
2012,2,30408,30721,ATW,BOS,891,10.88,373.28,UA,52.5,373.24,UA,52.5,373.24
2012,2,30408,32575,ATW,BUR,1732,0.22,614.02,UA,100,614.02,UA,100,614.02
2012,2,30408,30852,ATW,BWI,705,5.05,385.82,DL,71.7,389.17,DL,71.7,389.17
2012,2,30408,30852,ATW,DCA,701,18.35,222.02,DL,47.9,223.72,UA,45.5,222.61
2012,2,30408,31703,ATW,EWR,772,23.63,302.88,UA,45.1,303.21,US,12.1,265.4
2012,2,30408,32467,ATW,FLL,1338,6.37,314.63,DL,84.5,319.63,UA,10.3,266.52
